ID,Name,Age,Score
1,Person 1,40,51.9
2,Person 2,28,60.4
3,Person 3,59,82.7
4,Person 4,36,67.7
5,Person 5,30,83.7
6,Person 6,50,59.6
7,Person 7,49,84.3
8,Person 8,57,56.4
9,Person 9,66,76.6
10,Person 10,47,58.7
11,Person 11,55,89.4
12,Person 12,27,94.3
13,Person 13,35,54.5
14,Person 14,29,83.8
15,Person 15,19,55.9
16,Person 16,38,93
17,Person 17,38,96.1
18,Person 18,44,86.6
19,Person 19,44,86.9
20,Person 20,73,61.3
21,Person 21,68,90.9
22,Person 22,60,84.9
23,Person 23,20,53.4
24,Person 24,34,94.3
25,Person 25,28,79.5
26,Person 26,68,67.9
27,Person 27,72,68.4
28,Person 28,34,95.3
29,Person 29,50,65.4
30,Person 30,19,51
31,Person 31,20,83.6
32,Person 32,39,50.8
33,Person 33,40,80.3
34,Person 34,47,70.2
35,Person 35,70,97.4
36,Person 36,80,79.1
37,Person 37,45,73.3
38,Person 38,58,53.5
39,Person 39,60,90.5
40,Person 40,70,78
41,Person 41,63,88.2
42,Person 42,68,51.9
43,Person 43,74,75.9
44,Person 44,73,81.8
45,Person 45,24,60
46,Person 46,22,92.1
47,Person 47,57,81.1
48,Person 48,53,77.4
49,Person 49,68,95
50,Person 50,29,55.2
51,Person 51,47,77.1
52,Person 52,26,58.4
53,Person 53,25,50.8
54,Person 54,54,70.3
55,Person 55,67,96.7
56,Person 56,79,66.8
57,Person 57,74,72.2
58,Person 58,61,73.2
59,Person 59,64,51.3
60,Person 60,48,73.3
61,Person 61,41,63.9
62,Person 62,35,99
63,Person 63,39,64.9
64,Person 64,47,71.9
65,Person 65,41,78.9
66,Person 66,42,70.4
67,Person 67,64,84
68,Person 68,31,65.6
69,Person 69,24,77.3
70,Person 70,80,75.8
71,Person 71,76,66.2
72,Person 72,75,91.5
73,Person 73,34,52.8
74,Person 74,27,93
75,Person 75,45,58.2
76,Person 76,38,79
77,Person 77,59,52.9
78,Person 78,33,76.6
79,Person 79,53,94.6
80,Person 80,61,79.2
81,Person 81,23,78.3
82,Person 82,74,62.8
83,Person 83,50,91.8
84,Person 84,29,61.9
85,Person 85,22,66.9
86,Person 86,56,92.2
87,Person 87,50,84.4
88,Person 88,27,54.5
89,Person 89,78,87.4
90,Person 90,52,51.7
91,Person 91,36,84.1
92,Person 92,70,81.3
93,Person 93,19,83.1
94,Person 94,79,60.5
95,Person 95,22,88.5
96,Person 96,41,94.1
97,Person 97,74,50.9
98,Person 98,18,79.4
99,Person 99,66,68.3
100,Person 100,70,98.1
